,artist_name,track_name,track_id,popularity
533,Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,92
534,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,85
535,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91
536,Taylor Swift,mad woman,2QDyYdZyhlP2fp79KZX8Bi,84
537,Juice WRLD,Man Of The Year,1uA914Md6wsy9NDryyBypH,84
538,Juice WRLD,Fighting Demons,0jo6Nd4iJU0UFHqS0Xd4l4,84
539,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),7iIzwqG5UxPYwTYUUK4pzU,84
540,Taylor Swift,epiphany,08fa9LFcFBTcilB3iq2e2A,83
541,Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,96
542,Taylor Swift,peace,7MbT4I8qGntX4fMdqMQgke,83
543,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,88
544,6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,91
545,Juice WRLD,Screw Juice,2XSO13Gyndo7MDdtYibIxO,84
546,Juice WRLD,Can't Die,6DuHcOuuGWXNvF3uocsrBa,84
547,Taylor Swift,hoax,6MWoRt97mnSTXZhu3ggi9C,82
548,Juice WRLD,I Want It,6RsRMf9e4KUyo3MecGffNL,83
549,Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,86
550,Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,89
551,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
552,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,95
553,Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,87
554,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,89
555,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
556,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
557,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
558,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
559,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
560,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
561,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
562,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
563,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
564,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
565,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
566,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
567,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
568,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
569,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
570,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
571,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
572,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
573,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
574,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
575,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
576,Juice WRLD,Stay High,1AnkdcHl86kEhDvhaKDuIe,85
577,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,85
578,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,93
579,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,85
580,Juice WRLD,Up Up And Away,5lcIegmdblnWqT9nS9EhZj,85
581,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,84
582,Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,92
583,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,85
584,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91
585,Taylor Swift,mad woman,2QDyYdZyhlP2fp79KZX8Bi,84
586,Juice WRLD,Man Of The Year,1uA914Md6wsy9NDryyBypH,84
587,Juice WRLD,Fighting Demons,0jo6Nd4iJU0UFHqS0Xd4l4,84
588,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),7iIzwqG5UxPYwTYUUK4pzU,84
589,Taylor Swift,epiphany,08fa9LFcFBTcilB3iq2e2A,83
590,Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,96
591,Taylor Swift,peace,7MbT4I8qGntX4fMdqMQgke,83
592,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,88
593,6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,91
594,Juice WRLD,Screw Juice,2XSO13Gyndo7MDdtYibIxO,84
595,Juice WRLD,Can't Die,6DuHcOuuGWXNvF3uocsrBa,84
596,Taylor Swift,hoax,6MWoRt97mnSTXZhu3ggi9C,82
597,Juice WRLD,I Want It,6RsRMf9e4KUyo3MecGffNL,83
598,Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,86
599,DJ Khaled,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,87
600,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
601,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,95
602,Rod Wave,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,87
603,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,89
604,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,90
605,Juice WRLD,Life's A Mess (feat. Halsey),4h5N4KyWZMtpeH9vhXSXjd,88
606,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,90
607,Juice WRLD,Righteous,615vw74T1NebV8pKoutm2J,87
608,Juice WRLD,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,86
609,Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,87
610,Lil Baby,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,86
611,Taylor Swift,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,86
612,Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,88
613,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K,86
614,Polo G,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,86
615,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,86
616,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,89
617,The Kid LAROI,GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,87
618,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,92
619,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,85
620,Juice WRLD,Titanic,1QoG0Yqz1onMsdbOibZVke,85
621,Taylor Swift,seven,6KJqZcs9XDgVck7Lg9QOTC,85
622,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,90
623,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,85
624,Juice WRLD,Bad Energy,0JoWBcL61YWLXM5vW0YTHO,85
625,Juice WRLD,Stay High,1AnkdcHl86kEhDvhaKDuIe,85
626,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,85
627,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,93
628,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,85
629,Juice WRLD,Up Up And Away,5lcIegmdblnWqT9nS9EhZj,85
630,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,84
631,Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,92
632,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,85
633,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,91
634,Taylor Swift,mad woman,2QDyYdZyhlP2fp79KZX8Bi,84
635,Juice WRLD,Man Of The Year,1uA914Md6wsy9NDryyBypH,84
636,Juice WRLD,Fighting Demons,0jo6Nd4iJU0UFHqS0Xd4l4,84
637,Juice WRLD,Tell Me U Luv Me (with Trippie Redd),7iIzwqG5UxPYwTYUUK4pzU,84
638,Taylor Swift,epiphany,08fa9LFcFBTcilB3iq2e2A,83
639,Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,96
640,Taylor Swift,peace,7MbT4I8qGntX4fMdqMQgke,83
641,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,88
642,6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,91
643,Juice WRLD,Screw Juice,2XSO13Gyndo7MDdtYibIxO,84
644,Juice WRLD,Can't Die,6DuHcOuuGWXNvF3uocsrBa,84
645,Taylor Swift,hoax,6MWoRt97mnSTXZhu3ggi9C,82
646,Juice WRLD,I Want It,6RsRMf9e4KUyo3MecGffNL,83
647,Pop Smoke,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,86
648,DJ Khaled,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,87
